termID	category	Count	backgroundcount	strength	signal	p.adjust	proteins
GO:0007155	Cell adhesion	7	965	1.11	0.9	0.0018	NCAN,VCAN,CNTN2,BCAN,L1CAM,ACAN,NCAM1
GO:0007399	Nervous system development	9	2188	0.87	0.69	0.0018	NCAN,GPC1,VCAN,CNTN2,BCAN,L1CAM,PTPRZ1,ACAN,NCAM1
GO:0007417	Central nervous system development	6	1035	1.02	0.54	0.0411	NCAN,VCAN,CNTN2,BCAN,PTPRZ1,ACAN
GO:0032989	Cellular component morphogenesis	5	603	1.17	0.59	0.0411	GPC1,CNTN2,L1CAM,PTPRZ1,NCAM1
GO:0042063	Gliogenesis	4	248	1.46	0.67	0.0411	GPC1,VCAN,CNTN2,PTPRZ1
GO:0048856	Anatomical structure development	10	5117	0.54	0.34	0.0411	NCAN,GPC1,VCAN,CNTN2,BCAN,L1CAM,PTPRZ1,ACAN,MEF2B,NCAM1
